,Regionname,Suburb,Count,Pecent_Of_Sale
0,Eastern Metropolitan,Doncaster,116,7.885791978
1,Eastern Metropolitan,Ivanhoe,98,6.662134602
2,Eastern Metropolitan,Templestowe Lower,92,6.25424881
3,Eastern Metropolitan,Heidelberg Heights,78,5.302515296
4,Eastern Metropolitan,Heidelberg West,76,5.166553365
5,Eastern Metropolitan,Bulleen,71,4.826648538
6,Eastern Metropolitan,Rosanna,61,4.146838885
7,Eastern Metropolitan,Box Hill,59,4.010876954
8,Eastern Metropolitan,Mount Waverley,57,3.874915024
9,Eastern Metropolitan,Heidelberg,51,3.467029232
10,Eastern Victoria,Berwick,13,24.52830189
11,Eastern Victoria,Mooroolbark,12,22.64150943
12,Eastern Victoria,Langwarrin,6,11.32075472
13,Eastern Victoria,Frankston North,4,7.547169811
14,Eastern Victoria,Pakenham,3,5.660377358
15,Eastern Victoria,Beaconsfield,2,3.773584906
16,Eastern Victoria,Chirnside Park,2,3.773584906
17,Eastern Victoria,Mount Evelyn,2,3.773584906
18,Eastern Victoria,Silvan,2,3.773584906
19,Eastern Victoria,Beaconsfield Upper,1,1.886792453
20,Northern Metropolitan,Reservoir,359,9.228791774
21,Northern Metropolitan,Richmond,260,6.683804627
22,Northern Metropolitan,Preston,239,6.143958869
23,Northern Metropolitan,Brunswick,222,5.706940874
24,Northern Metropolitan,Coburg,190,4.884318766
25,Northern Metropolitan,Northcote,188,4.832904884
26,Northern Metropolitan,Pascoe Vale,171,4.395886889
27,Northern Metropolitan,Glenroy,159,4.087403599
28,Northern Metropolitan,Thornbury,139,3.573264781
29,Northern Metropolitan,Kensington,117,3.007712082
30,Northern Victoria,Gisborne,8,19.51219512
31,Northern Victoria,Melton West,8,19.51219512
32,Northern Victoria,Diamond Creek,6,14.63414634
33,Northern Victoria,Doreen,6,14.63414634
34,Northern Victoria,Kurunjang,4,9.756097561
35,Northern Victoria,Hurstbridge,2,4.87804878
36,Northern Victoria,Bullengarook,1,2.43902439
37,Northern Victoria,Healesville,1,2.43902439
38,Northern Victoria,New Gisborne,1,2.43902439
39,Northern Victoria,Riddells Creek,1,2.43902439
40,South-Eastern Metropolitan,Oakleigh South,58,12.88888889
41,South-Eastern Metropolitan,Mulgrave,29,6.444444444
42,South-Eastern Metropolitan,Mentone,26,5.777777778
43,South-Eastern Metropolitan,Wheelers Hill,26,5.777777778
44,South-Eastern Metropolitan,Frankston,24,5.333333333
45,South-Eastern Metropolitan,Parkdale,24,5.333333333
46,South-Eastern Metropolitan,Dingley Village,21,4.666666667
47,South-Eastern Metropolitan,Mordialloc,18,4
48,South-Eastern Metropolitan,Dandenong North,16,3.555555556
49,South-Eastern Metropolitan,Frankston South,16,3.555555556
50,Southern Metropolitan,Bentleigh East,249,5.303514377
51,Southern Metropolitan,South Yarra,202,4.302449414
52,Southern Metropolitan,Glen Iris,195,4.153354633
53,Southern Metropolitan,Hawthorn,191,4.068157614
54,Southern Metropolitan,Brighton,186,3.961661342
55,Southern Metropolitan,Kew,177,3.769968051
56,Southern Metropolitan,Balwyn North,171,3.642172524
57,Southern Metropolitan,St Kilda,162,3.450479233
58,Southern Metropolitan,Port Melbourne,153,3.258785942
59,Southern Metropolitan,Carnegie,146,3.109691161
60,Western Metropolitan,Essendon,220,7.462686567
61,Western Metropolitan,Yarraville,164,5.563093623
62,Western Metropolitan,Moonee Ponds,149,5.054274084
63,Western Metropolitan,Newport,137,4.647218453
64,Western Metropolitan,Footscray,132,4.47761194
65,Western Metropolitan,Ascot Vale,130,4.409769335
66,Western Metropolitan,Keilor East,121,4.104477612
67,Western Metropolitan,Sunshine,111,3.765264586
68,Western Metropolitan,Williamstown,107,3.629579376
69,Western Metropolitan,West Footscray,105,3.561736771
70,Western Victoria,Melton South,18,56.25
71,Western Victoria,Melton,12,37.5
72,Western Victoria,Bacchus Marsh,1,3.125
73,Western Victoria,Brookfield,1,3.125
